nom_commune,code_commune,carre
Éveux,69083,4579.5457128152535082
Émeringes,69082,2351.0989010989010989
Écully,69081,4912.9023953096363787
Échalas,69080,2526.9378503975694719
Yzeron,69269,2481.1643538148069630
Vénissieux,69259,2933.0353633077637168
Vourles,69268,3717.0183015563816498
Vindry-sur-Turdine,69157,2260.6956667415871874
Villié-Morgon,69267,2643.9678039833441431
Villeurbanne,69266,4566.8203500930196263
Villefranche-sur-Saône,69264,4572.3965033612173912
Villechenève,69263,1815.7658679643339740
Ville-sur-Jarnioux,69265,4344.7552447552447552
Vernaison,69260,3241.8909005730571882
Vauxrenard,69258,1354.5032203568788935
Vaux-en-Beaujolais,69257,2060.2541707535825927
Vaulx-en-Velin,69256,4042.8306955756488037
Vaugneray,69255,3680.7003331453684960
Valsonne,69254,1654.7842669849657751
"Val d'Oingt",69024,3348.9575538659691198
Tupin-et-Semons,69253,3390.2702702702702703
Trèves,69252,2383.5664335664335664
Toussieu,69298,3903.6021383282652286
Thurins,69249,3539.9079752076820416
Thizy-les-Bourgs,69248,1592.1300274881291693
Theizé,69246,3602.7348687609971952
Ternay,69297,3947.5657010215505051
Ternand,69245,3090.6743461342524849
Tassin-la-Demi-Lune,69244,5080.9353612375362985
Tarare,69243,3275.8323019384305029
Taponas,69242,2860.5097059773533732
Taluyers,69241,3352.2775308129223013
Sérézin-du-Rhône,69294,3215.6772657651077428
Souzy,69178,1574.8846887239744383
Sourcieux-les-Mines,69177,3049.8598746831883704
Soucieu-en-Jarrest,69176,3733.4878092360192694
Solaize,69296,4035.2916071876297370
Simandres,69295,3725.3584529505582137
Savigny,69175,2472.4114112672460872
Sathonay-Village,69293,4118.3905690097065605
Sathonay-Camp,69292,3017.4232103680371446
Sarcey,69173,2468.5892158880428072
Salles-Arbuissonnas-en-Beaujolais,69172,2570.3121637087298191
Sainte-Paule,69230,2104.5454545454545455
Sainte-Foy-lès-Lyon,69202,5247.2438398902645628
"Sainte-Foy-l'Argentière",69201,2118.3822769257403725
Sainte-Consorce,69190,4101.1707644472213983
Sainte-Colombe,69189,2951.8833881103002711
Sainte-Catherine,69184,2072.1434730900029342
Saint-Étienne-la-Varenne,69198,2708.9536096357925577
Saint-Étienne-des-Oullières,69197,3180.7024230287593258
Saint-Vérand,69239,2724.6011322011322011
Saint-Vincent-de-Reins,69240,1152.3455769846411240
Saint-Symphorien-sur-Coise,69238,2277.7633474868358383
"Saint-Symphorien-d'Ozon",69291,3263.5050267095273320
Saint-Romain-en-Gier,69236,2817.0629166986926974
Saint-Romain-en-Gal,69235,2289.0481452174752472
Saint-Romain-de-Popey,69234,3191.7714877287993065
"Saint-Romain-au-Mont-d'Or",69233,4011.2242209223763800
Saint-Priest,69290,2947.9863697887008064
Saint-Pierre-la-Palud,69231,3344.6486004195678094
Saint-Pierre-de-Chandieu,69289,3033.5969259384775097
"Saint-Nizier-d'Azergues",69229,1131.4762647497626475
Saint-Martin-en-Haut,69227,3118.6478909755019360
"Saint-Marcel-l'Éclairé",69225,2266.1764705882352941
Saint-Laurent-de-Mure,69288,3877.8409954354149356
Saint-Laurent-de-Chamousset,69220,2542.5731784437897570
"Saint-Laurent-d'Agny",69219,3045.0957951045857687
