CODE_UIC;LIBELLE;FRET;VOYAGEURS;CODE_LIGNE;RG_TRONCON;PK;COMMUNE;DEPARTEMEN;IDRESEAU;LATITUDE;LONGITUDE
87723700;Sathonay-Rillieux;O;O;887000;1;007+000;SATHONAY-CAMP;RHONE;6768;45.8226053485;4.87842955917
87721548;La Tour-de-Salvagny;N;O;782000;1;011+207;LA TOUR-DE-SALVAGNY;RHONE;4775;45.7997023677;4.71678427785
87722264;Vernaison;N;O;750000;1;546+055;VERNAISON;RHONE;7153;45.6455140115;4.81352175899
87721514;Tassin;N;O;782000;1;005+677;TASSIN-LA-DEMI-LUNE;RHONE;6934;45.7617575774;4.75865272443
87722710;Chaponost;N;O;775000;1;122+255;CHAPONOST;RHONE;3617;45.6988467964;4.7646491546
87721159;Lyon-St-Paul;N;O;782000;1;000+000;Lyon 5e Arrondissement;RHONE;5301;45.7663498412;4.82558187127
87721555;Lentilly;N;O;782000;1;015+987;LENTILLY;RHONE;5036;45.8218060438;4.6672054539
87722728;Brignais;N;O;775000;1;125+262;BRIGNAIS;RHONE;3402;45.6737152948;4.76384912505
87721860;Lamure-sur-Azergues;N;O;775000;1;065+100;LAMURE-SUR-AZERGUES;RHONE;4844;46.0610524691;4.4923134051
87722546;Sérézin;N;O;830000;1;526+418;SÉRÉZIN-DU-RHÔNE;RHONE;6824;45.6272306552;4.81781390683
87722405;Givors;O;O;750000;1;537+810;GIVORS;RHONE;4322;45.5851452141;4.76602209443
87721423;Lozanne;O;O;775000;1;095+521;LOZANNE;RHONE;5254;45.8540549194;4.682629821
87722538;Feyzin;N;O;830000;1;521+277;FEYZIN;RHONE;4149;45.6657755217;4.85280529916
87721761;Chessy;N;O;775000;1;089+579;CHESSY;RHONE;9326;45.885436472;4.62249184253
87721357;Belleville-sur-Saône;O;O;830000;1;462+657;BELLEVILLE;RHONE;3166;46.1119110973;4.72886385152
87721605;Sain-Bel;N;O;782000;1;025+525;SAIN-BEL;RHONE;6350;45.811318203;4.60169678672
87722231;Pierre-Bénite;N;O;750000;1;553+538;PIERRE-BENITE;RHONE;5995;45.7065441725;4.82485862075
