Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0691675W;Collège Louis Jouvet;COLLEGE;LOUIS JOUVET;Public;23 rue DOCTEUR DOLARD;;3038;69605;VILLEURBANNE CEDEX;Villeurbanne;845608.3;6519641.2;EPSG:2154;45.760828771469875;4.873449769909496;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;069;84;10;69266;Rhône;Auvergne-Rhône-Alpes;Lyon;45.760828771469875,4.873449769909496;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1969-03-21
0692390Y;Etablissement régional d'enseignement adapté Cité Scolaire René Pellet - Lycée des métiers du tertiaire et de l'artisanat d'art;ETAB.REGIONAL ENSEIGNT ADAPTE;CITE SCOLAIRE RENE PELLET;Public;32 rue DE FRANCE;;5016;69602;VILLEURBANNE CEDEX;Villeurbanne;846685.8;6520202.0;EPSG:2154;45.765646233709866;4.887480461500935;Parfaite;Numéro de rue;370;ETABLISSEMENT REGIONAL D'ENSEIGNT ADAPTE;1;OUVERT;069;84;10;69266;Rhône;Auvergne-Rhône-Alpes;Lyon;45.765646233709866,4.887480461500935;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1972-10-06
0692576A;Collège Pablo Picasso;COLLEGE;PABLO PICASSO;Public;17 rue DE REIMS;;;69500;BRON;Bron;848221.6;6517321.3;EPSG:2154;45.73938115829669;4.906340014878214;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;069;84;10;69029;Rhône;Auvergne-Rhône-Alpes;Lyon;45.73938115829669,4.906340014878214;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1976-02-13
0693619J;Lycée général et technologique Robert Doisneau;LYCEE GENERAL ET TECHNOLOGIQUE;ROBERT DOISNEAU;Public;5 rue du Lycée;;42;69511;VAULX EN VELIN CEDEX;Vaulx-en-Velin;849053.9;6521482.5;EPSG:2154;45.776659800621516;4.918340327625297;Parfaite;Numéro de rue;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;1;OUVERT;069;84;10;69256;Rhône;Auvergne-Rhône-Alpes;Lyon;45.776659800621516,4.918340327625297;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1995-09-01
0694356K;Ecole secondaire privée Horizons;ECOLE SECONDAIRE PRIVEE;HORIZONS;Privé;74 boulevard du 11 Novembre 1918;;;69100;VILLEURBANNE;Villeurbanne;845082.9;6521606.2;EPSG:2154;45.77863047193056;4.867290067010237;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;069;84;10;69266;Rhône;Auvergne-Rhône-Alpes;Lyon;45.77863047193056,4.867290067010237;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;2018-08-12
0690032K;Lycée général et technologique Juliette Récamier;LYCEE GENERAL ET TECHNOLOGIQUE;JULIETTE RECAMIER;Public;57 rue DE LA CHARITE;;;69287;LYON CEDEX 02;Lyon 2e  Arrondissement;842348.2;6518605.7;EPSG:2154;45.75219537955357;4.831210420797867;Moyenne;Rue;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;1;OUVERT;069;84;10;69382;Rhône;Auvergne-Rhône-Alpes;Lyon;45.75219537955357,4.831210420797867;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0690043X;Lycée professionnel Jacques de Flesselles - Lycée des métiers du génie électrique et de la bureautique;LP LYCEE DES METIERS;JACQUES DE FLESSELLES;Public;15 rue DE FLESSELLES;;;69001;LYON;Lyon 1er Arrondissement;841943.6;6520696.3;EPSG:2154;45.77110032456801;4.8266294097466105;Parfaite;Numéro de rue;320;LYCEE PROFESSIONNEL;1;OUVERT;069;84;10;69381;Rhône;Auvergne-Rhône-Alpes;Lyon;45.77110032456801,4.8266294097466105;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0690097F;Lycée polyvalent Claude Bernard - Lycée des métiers de la vente, des services et du commerce;LPO LYCEE DES METIERS;CLAUDE BERNARD;Public;234 rue PHILIPPE HERON;;475;69665;VILLEFRANCHE SUR SAONE CEDEX;Villefranche-sur-Saône;832402.3;6544858.5;EPSG:2154;45.99054870709135;4.71061991400468;Parfaite;Numéro de rue;306;LYCEE POLYVALENT;1;OUVERT;069;84;10;69264;Rhône;Auvergne-Rhône-Alpes;Lyon;45.99054870709135,4.71061991400468;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0690540M;Lycée général privé Notre Dame de Bellegarde;LYCEE GENERAL PRIVE;NOTRE DAME DE BELLEGARDE;Privé;22 avenue Gambetta;;;69250;NEUVILLE SUR SAONE;Neuville-sur-Saône;842807.7;6531745.5;EPSG:2154;45.87038983040777;4.841059864868099;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;069;84;10;69143;Rhône;Auvergne-Rhône-Alpes;Lyon;45.87038983040777,4.841059864868099;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1957-10-10
0690660T;Lycée professionnel privé Japy - Lycée des métiers de la vente et de la gestion administrative;LYCEE PROF PRIVE DES METIERS;JAPY;Privé;1  PLACE LOUIS PRADEL;;1152;69203;LYON CEDEX 01;Lyon 1er Arrondissement;842801.5;6520377.2;EPSG:2154;45.768048410252206;4.83756994797316;Correcte;Numéro de rue;320;LYCEE PROFESSIONNEL;1;OUVERT;069;84;10;69381;Rhône;Auvergne-Rhône-Alpes;Lyon;45.768048410252206,4.83756994797316;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1967-06-14
0691654Y;Lycée général et technologique privé Champagnat;LYCEE GEN.ET TECHNOL.PRIVE;CHAMPAGNAT;Privé;250 rue CHANOINE PAVAILLER;;;69590;ST SYMPHORIEN SUR COISE;Saint-Symphorien-sur-Coise;813156.6;6504377.3;EPSG:2154;45.62956338698952;4.452410290999296;Parfaite;Numéro de rue;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;1;OUVERT;069;84;10;69238;Rhône;Auvergne-Rhône-Alpes;Lyon;45.62956338698952,4.452410290999296;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-10-17
0692698H;Collège Jean Perrin;COLLEGE;JEAN PERRIN;Public;14 rue MARECHAL DE LATTRE DE TASSIGNY;;;69009;LYON;Lyon 9e  Arrondissement;841152.2;6523301.4;EPSG:2154;45.794717150167955;4.817220107250785;Correcte;Numéro de rue;340;COLLEGE;1;OUVERT;069;84;10;69389;Rhône;Auvergne-Rhône-Alpes;Lyon;45.794717150167955,4.817220107250785;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1977-03-08
0692968B;Lycée professionnel André Cuzin - Lycée des métiers de la construction et de l'habitat durables;LP LYCEE DES METIERS;ANDRE CUZIN;Public;42 chemin DE CREPIEUX;;;69300;CALUIRE ET CUIRE;Caluire-et-Cuire;844194.1;6524070.0;EPSG:2154;45.80099927983147;4.856600440163791;Parfaite;Numéro de rue;320;LYCEE PROFESSIONNEL;1;OUVERT;069;84;10;69034;Rhône;Auvergne-Rhône-Alpes;Lyon;45.80099927983147,4.856600440163791;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1981-09-01
0693046L;Collège La Perrière;COLLEGE;LA PERRIERE;Public;Chemin DE LA MAILLARDE;;;69510;SOUCIEU EN JARREST;Soucieu-en-Jarrest;832067.6;6509920.2;EPSG:2154;45.67607098104739;4.696599666481074;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;069;84;10;69176;Rhône;Auvergne-Rhône-Alpes;Lyon;45.67607098104739,4.696599666481074;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1982-09-01
